,flow,volume,vortex,side_f,side_h1,PWG,meta
0,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
1,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
2,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
3,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
4,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
5,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
6,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
7,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
8,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
9,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
10,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
11,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
12,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
13,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
14,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
15,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
16,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
17,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
18,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
19,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
20,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
21,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
22,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
23,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
24,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
25,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
26,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
27,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
28,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
29,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
30,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
31,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
32,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
33,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
34,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
35,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
36,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
37,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
38,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
39,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
40,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
41,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
42,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
43,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
44,,,,,,ATS2617.0,Sidestack (Purple 4)Downstream D (Yellow)Mouthpiece E (Black)0% Infill (Blue)
